Uniprot ID,Gene Name,Uniprot Name,Protein Name
Q9Y5P2,CSAG2,CSAG2_HUMAN,Chondrosarcoma-associated gene 2/3 protein
Q9NW15,ANO10,ANO10_HUMAN,Anoctamin-10
P24468,NR2F2,COT2_HUMAN,COUP transcription factor 2
Q8TE58,ADAMTS15,ATS15_HUMAN,A disintegrin and metalloproteinase with thrombospondin motifs 15
Q99798,ACO2,ACON_HUMAN,"Aconitate hydratase, mitochondrial"
Q9BZJ0,CRNKL1,CRNL1_HUMAN,Crooked neck-like protein 1
Q6PL45,BRICD5,BRID5_HUMAN,BRICHOS domain-containing protein 5
P00846,MT-ATP6,ATP6_HUMAN,ATP synthase subunit a
Q5TEZ5,C6orf163,CF163_HUMAN,Uncharacterized protein C6orf163
O75752,B3GALNT1,B3GL1_HUMAN,"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1"
Q01954,BNC1,BNC1_HUMAN,Zinc finger protein basonuclin-1
Q68CJ9,CREB3L3,CR3L3_HUMAN,Cyclic AMP-responsive element-binding protein 3-like protein 3
Q8IXJ9,ASXL1,ASXL1_HUMAN,Putative Polycomb group protein ASXL1
Q9BYG0,B3GNT5,B3GN5_HUMAN,"Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase"
Q9UKL4,GJD2,CXD2_HUMAN,Gap junction delta-2 protein
Q6FI81,CIAPIN1,CPIN1_HUMAN,Anamorsin
Q8N6U2,LINC00612,CL033_HUMAN,Putative uncharacterized protein encoded by LINC00612
Q8TDC3,BRSK1,BRSK1_HUMAN,Serine/threonine-protein kinase BRSK1
Q5W188,CST9LP1,CST9P_HUMAN,Putative cystatin-9-like protein CST9LP1
Q0VDE8,ADIG,ADIG_HUMAN,Adipogenin
Q9Y3E7,CHMP3,CHMP3_HUMAN,Charged multivesicular body protein 3
Q9BRQ4,CFAP300,CF300_HUMAN,Cilia- and flagella-associated protein 300
Q400G9,AMZ1,AMZ1_HUMAN,Archaemetzincin-1
Q6UX39,AMTN,AMTN_HUMAN,Amelotin
Q9BQ75,CMSS1,CMS1_HUMAN,Protein CMSS1
Q8NHS1,CLDND2,CLDN2_HUMAN,Claudin domain-containing protein 2
Q96M02,C10orf90,CJ090_HUMAN,(E2-independent) E3 ubiquitin-conjugating enzyme FATS
Q9UKI2,CDC42EP3,BORG2_HUMAN,Cdc42 effector protein 3
P0CG13,CHTF8,CTF8_HUMAN,Chromosome transmission fidelity protein 8 homolog
Q96DZ5,CLIP3,CLIP3_HUMAN,CAP-Gly domain-containing linker protein 3
O14490,DLGAP1,DLGP1_HUMAN,Disks large-associated protein 1
Q13231,CHIT1,CHIT1_HUMAN,Chitotriosidase-1
Q9P2D1,CHD7,CHD7_HUMAN,Chromodomain-helicase-DNA-binding protein 7
A4FU28,CTAGE9,CTGE9_HUMAN,cTAGE family member 9
P21728,DRD1,DRD1_HUMAN,D(1A) dopamine receptor
Q8IZP9,ADGRG2,AGRG2_HUMAN,Adhesion G-protein coupled receptor G2
Q6ZRZ4,C9orf47,CI047_HUMAN,Uncharacterized protein C9orf47
P12110,COL6A2,CO6A2_HUMAN,Collagen alpha-2(VI) chain
P25067,COL8A2,CO8A2_HUMAN,Collagen alpha-2(VIII) chain
Q5VUB5,FAM171A1,F1711_HUMAN,Protein FAM171A1
Q86SQ4,ADGRG6,AGRG6_HUMAN,Adhesion G-protein coupled receptor G6
P0C7V4,FAM90A15P,F90AJ_HUMAN,Putative protein FAM90A15P
A8MVW0,FAM171A2,F1712_HUMAN,Protein FAM171A2
O75937,DNAJC8,DNJC8_HUMAN,DnaJ homolog subfamily C member 8
Q8WXF8,DEDD2,DEDD2_HUMAN,DNA-binding death effector domain-containing protein 2
Q9Y315,DERA,DEOC_HUMAN,Deoxyribose-phosphate aldolase
O15360,FANCA,FANCA_HUMAN,Fanconi anemia group A protein
O75072,FKTN,FKTN_HUMAN,Fukutin
Q8N128,FAM177A1,F177A_HUMAN,Protein FAM177A1
Q8N4W6,DNAJC22,DJC22_HUMAN,DnaJ homolog subfamily C member 22
Q8N8J7,FAM241A,F241A_HUMAN,Uncharacterized protein FAM241A
Q8N9Y4,FAM181A,F181A_HUMAN,Protein FAM181A
Q9H936,SLC25A22,GHC1_HUMAN,Mitochondrial glutamate carrier 1
O95672,ECEL1,ECEL1_HUMAN,Endothelin-converting enzyme-like 1
P04899,GNAI2,GNAI2_HUMAN,Guanine nucleotide-binding protein G(i) subunit alpha-2
Q6IN97,FRMPD2B,FRP2L_HUMAN,Putative protein FRMPD2-like
Q92805,GOLGA1,GOGA1_HUMAN,Golgin subfamily A member 1
O15228,GNPAT,GNPAT_HUMAN,Dihydroxyacetone phosphate acyltransferase
A8MQT2,GOLGA8B,GOG8B_HUMAN,Golgin subfamily A member 8B
P80370,DLK1,DLK1_HUMAN,Protein delta homolog 1
Q8TBA6,GOLGA5,GOGA5_HUMAN,Golgin subfamily A member 5
P54851,EMP2,EMP2_HUMAN,Epithelial membrane protein 2
Q4G0N0,GGTA1P,GGTA1_HUMAN,"Inactive N-acetyllactosaminide alpha-1,3-galactosyltransferase"
Q96IV6,FAXDC2,FXDC2_HUMAN,Fatty acid hydroxylase domain-containing protein 2
Q15329,E2F5,E2F5_HUMAN,Transcription factor E2F5
Q9BS18,ANAPC13,APC13_HUMAN,Anaphase-promoting complex subunit 13
P0DO97,CCDC192,CC192_HUMAN,Coiled-coil domain-containing protein 192
Q96DE5,ANAPC16,APC16_HUMAN,Anaphase-promoting complex subunit 16
Q5T5A4,C1orf194,CA194_HUMAN,Uncharacterized protein C1orf194
A8MZ97,C2orf74,CB074_HUMAN,Uncharacterized protein C2orf74
P27348,YWHAQ,1433T_HUMAN,14-3-3 protein theta
Q8N888,BCORP1,BCOR2_HUMAN,Putative BCoR-like protein 2
Q8N5B7,CERS5,CERS5_HUMAN,Ceramide synthase 5
P51636,CAV2,CAV2_HUMAN,Caveolin-2
Q5H9F3,BCORL1,BCORL_HUMAN,BCL-6 corepressor-like protein 1
O94812,BAIAP3,BAIP3_HUMAN,BAI1-associated protein 3
Q99616,CCL13,CCL13_HUMAN,C-C motif chemokine 13
P13688,CEACAM1,CEAM1_HUMAN,Carcinoembryonic antigen-related cell adhesion molecule 1
P62952,BLCAP,BLCAP_HUMAN,Bladder cancer-associated protein
Q9H981,ACTR8,ARP8_HUMAN,Actin-related protein 8
P63261,ACTG1,ACTG_HUMAN,"Actin, cytoplasmic 2"
Q8NFJ9,BBS1,BBS1_HUMAN,Bardet-Biedl syndrome 1 protein
A8MVX0,ARHGEF33,ARG33_HUMAN,Rho guanine nucleotide exchange factor 33
Q8ND23,CARMIL3,CARL3_HUMAN,"Capping protein, Arp2/3 and myosin-I linker protein 3"
P00352,ALDH1A1,AL1A1_HUMAN,Retinal dehydrogenase 1
P0DN79,CBSL,CBSL_HUMAN,Cystathionine beta-synthase-like protein
P13611,VCAN,CSPG2_HUMAN,Versican core protein
Q6UWD8,C16orf54,CP054_HUMAN,Transmembrane protein C16orf54
Q07075,ENPEP,AMPE_HUMAN,Glutamyl aminopeptidase
Q9Y6E2,BZW2,BZW2_HUMAN,Basic leucine zipper and W2 domain-containing protein 2
Q8IWZ3,ANKHD1,ANKH1_HUMAN,Ankyrin repeat and KH domain-containing protein 1
P05177,CYP1A2,CP1A2_HUMAN,Cytochrome P450 1A2
Q13085,ACACA,ACACA_HUMAN,Acetyl-CoA carboxylase 1
Q7Z5J8,ANKAR,ANKAR_HUMAN,Ankyrin and armadillo repeat-containing protein
Q9UG63,ABCF2,ABCF2_HUMAN,ATP-binding cassette sub-family F member 2
Q2TAA5,ALG11,ALG11_HUMAN,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase"
Q9ULH1,ASAP1,ASAP1_HUMAN,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1"
Q9H0R1,AP5M1,AP5M1_HUMAN,AP-5 complex subunit mu-1
Q8NBQ7,AQP11,AQP11_HUMAN,Aquaporin-11
Q8N7U9,LINC00469,CQ054_HUMAN,Putative uncharacterized protein encoded by LINC00469
Q8WWH4,ASZ1,ASZ1_HUMAN,"Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1"
Q9Y6N8,CDH10,CAD10_HUMAN,Cadherin-10
Q8NC06,ACBD4,ACBD4_HUMAN,Acyl-CoA-binding domain-containing protein 4
Q8IVJ8,APRG1,APRG1_HUMAN,AP20 region protein 1
P04234,CD3D,CD3D_HUMAN,T-cell surface glycoprotein CD3 delta chain
Q9BPX7,C7orf25,CG025_HUMAN,UPF0415 protein C7orf25
P13236,CCL4,CCL4_HUMAN,C-C motif chemokine 4
Q02318,CYP27A1,CP27A_HUMAN,"Sterol 26-hydroxylase, mitochondrial"
A0PJZ0,ANKRD20A5P,A20A5_HUMAN,Putative ankyrin repeat domain-containing protein 20A5
Q8NHQ1,CEP70,CEP70_HUMAN,Centrosomal protein of 70 kDa
P09693,CD3G,CD3G_HUMAN,T-cell surface glycoprotein CD3 gamma chain
P55290,CDH13,CAD13_HUMAN,Cadherin-13
Q5QJU3,ACER2,ACER2_HUMAN,Alkaline ceramidase 2
P02745,C1QA,C1QA_HUMAN,Complement C1q subcomponent subunit A
Q9UNA3,A4GNT,A4GCT_HUMAN,"Alpha-1,4-N-acetylglucosaminyltransferase"
Q8N8U9,BMPER,BMPER_HUMAN,BMP-binding endothelial regulator protein
Q9P299,COPZ2,COPZ2_HUMAN,Coatomer subunit zeta-2
P25063,CD24,CD24_HUMAN,Signal transducer CD24
Q2M3G0,ABCB5,ABCB5_HUMAN,ATP-binding cassette sub-family B member 5
P54709,ATP1B3,AT1B3_HUMAN,Sodium/potassium-transporting ATPase subunit beta-3
P48751,SLC4A3,B3A3_HUMAN,Anion exchange protein 3
Q00597,FANCC,FANCC_HUMAN,Fanconi anemia group C protein
Q8NC01,CLEC1A,CLC1A_HUMAN,C-type lectin domain family 1 member A
P51589,CYP2J2,CP2J2_HUMAN,Cytochrome P450 2J2
Q16720,ATP2B3,AT2B3_HUMAN,Plasma membrane calcium-transporting ATPase 3
Q6UXB4,CLEC4G,CLC4G_HUMAN,C-type lectin domain family 4 member G
P02656,APOC3,APOC3_HUMAN,Apolipoprotein C-III
Q96B33,CLDN23,CLD23_HUMAN,Claudin-23
P20594,NPR2,ANPRB_HUMAN,Atrial natriuretic peptide receptor 2
Q9NSK7,C19orf12,CS012_HUMAN,Protein C19orf12
P20648,ATP4A,ATP4A_HUMAN,Potassium-transporting ATPase alpha chain 1
Q92485,SMPDL3B,ASM3B_HUMAN,Acid sphingomyelinase-like phosphodiesterase 3b
Q9Y6Q5,AP1M2,AP1M2_HUMAN,AP-1 complex subunit mu-2
Q9ULM6,CNOT6,CNOT6_HUMAN,CCR4-NOT transcription complex subunit 6
A8MZ36,EVPLL,EVPLL_HUMAN,Envoplakin-like protein
Q8N812,C12orf76,CL076_HUMAN,Uncharacterized protein C12orf76
Q2NKJ3,CTC1,CTC1_HUMAN,CST complex subunit CTC1
A9YTQ3,AHRR,AHRR_HUMAN,Aryl hydrocarbon receptor repressor
Q9P2K8,EIF2AK4,E2AK4_HUMAN,eIF-2-alpha kinase GCN2
Q5JTJ3,COA6,COA6_HUMAN,Cytochrome c oxidase assembly factor 6 homolog
Q00610,CLTC,CLH1_HUMAN,Clathrin heavy chain 1
P26992,CNTFR,CNTFR_HUMAN,Ciliary neurotrophic factor receptor subunit alpha
Q8N9M1,C19orf47,CS047_HUMAN,Uncharacterized protein C19orf47
O14493,CLDN4,CLD4_HUMAN,Claudin-4
Q96B45,BORCS7,BORC7_HUMAN,BLOC-1-related complex subunit 7
Q9HB96,FANCE,FANCE_HUMAN,Fanconi anemia group E protein
Q13467,FZD5,FZD5_HUMAN,Frizzled-5
O00399,DCTN6,DCTN6_HUMAN,Dynactin subunit 6
Q6NSW5,FAM45BP,FA45B_HUMAN,Putative protein FAM45B
P22749,GNLY,GNLY_HUMAN,Granulysin
Q63HN1,FAM205BP,F205B_HUMAN,Putative protein FAM205B
Q14209,E2F2,E2F2_HUMAN,Transcription factor E2F2
O95715,CXCL14,CXL14_HUMAN,C-X-C motif chemokine 14
O14625,CXCL11,CXL11_HUMAN,C-X-C motif chemokine 11
Q9NYJ7,DLL3,DLL3_HUMAN,Delta-like protein 3
A0A1B0GTI1,CCDC201,CC201_HUMAN,Coiled-coil domain-containing protein 201
Q8WWX0,ASB5,ASB5_HUMAN,Ankyrin repeat and SOCS box protein 5
Q9UL15,BAG5,BAG5_HUMAN,BAG family molecular chaperone regulator 5
Q9BT30,ALKBH7,ALKB7_HUMAN,"Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial"
Q6ZNB7,AGMO,ALKMO_HUMAN,Alkylglycerol monooxygenase
Q5SR53,PIK3CD-AS1,CA200_HUMAN,Putative uncharacterized protein PIK3CD-AS1
O60218,AKR1B10,AK1BA_HUMAN,Aldo-keto reductase family 1 member B10
Q6UWT4,C5orf46,CE046_HUMAN,Uncharacterized protein C5orf46
O43687,AKAP7,AKA7A_HUMAN,A-kinase anchor protein 7 isoforms alpha and beta
Q8N7Q2,CELF2-AS1,CEAS1_HUMAN,Putative uncharacterized protein CELF2-AS1
Q05682,CALD1,CALD1_HUMAN,Caldesmon
O95196,CSPG5,CSPG5_HUMAN,Chondroitin sulfate proteoglycan 5
Q5T5M9,CCNJ,CCNJ_HUMAN,Cyclin-J
P61221,ABCE1,ABCE1_HUMAN,ATP-binding cassette sub-family E member 1
Q09160,HLA-A,1A80_HUMAN,"HLA class I histocompatibility antigen, A-80 alpha chain"
Q96KV6,BTN2A3P,BT2A3_HUMAN,Putative butyrophilin subfamily 2 member A3
Q6UWY0,ARSK,ARSK_HUMAN,Arylsulfatase K
Q9UKU7,ACAD8,ACAD8_HUMAN,"Isobutyryl-CoA dehydrogenase, mitochondrial"
Q99622,C12orf57,C10_HUMAN,Protein C10
Q92858,ATOH1,ATOH1_HUMAN,Protein atonal homolog 1
P42575,CASP2,CASP2_HUMAN,Caspase-2
P38432,COIL,COIL_HUMAN,Coilin
P46952,HAAO,3HAO_HUMAN,"3-hydroxyanthranilate 3,4-dioxygenase"
Q9ULK2,ATXN7L1,AT7L1_HUMAN,Ataxin-7-like protein 1
P11310,ACADM,ACADM_HUMAN,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"
C9JDV5,C12orf77,CL097_HUMAN,Putative uncharacterized protein C12orf77
Q9P218,COL20A1,COKA1_HUMAN,Collagen alpha-1(XX) chain
Q9P1Y5,CAMSAP3,CAMP3_HUMAN,Calmodulin-regulated spectrin-associated protein 3
Q15327,ANKRD1,ANKR1_HUMAN,Ankyrin repeat domain-containing protein 1
P30475,HLA-B,1B39_HUMAN,"HLA class I histocompatibility antigen, B-39 alpha chain"
Q9UBT7,CTNNAL1,CTNL1_HUMAN,Alpha-catulin
A6NFT4,CFAP73,CFA73_HUMAN,Cilia- and flagella-associated protein 73
P49419,ALDH7A1,AL7A1_HUMAN,Alpha-aminoadipic semialdehyde dehydrogenase
P15336,ATF2,ATF2_HUMAN,Cyclic AMP-dependent transcription factor ATF-2
A6NM10,AQP12B,AQ12B_HUMAN,Aquaporin-12B
P49069,CAMLG,CAMLG_HUMAN,Calcium signal-modulating cyclophilin ligand
Q9Y258,CCL26,CCL26_HUMAN,C-C motif chemokine 26
P49748,ACADVL,ACADV_HUMAN,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"
Q9BYT9,ANO3,ANO3_HUMAN,Anoctamin-3
Q8NCR0,B3GALNT2,B3GL2_HUMAN,"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2"
Q96DT6,ATG4C,ATG4C_HUMAN,Cysteine protease ATG4C
P55201,BRPF1,BRPF1_HUMAN,Peregrin
Q99675,CGRRF1,CGRF1_HUMAN,Cell growth regulator with RING finger domain protein 1
Q9NY97,B3GNT2,B3GN2_HUMAN,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2"
O14810,CPLX1,CPLX1_HUMAN,Complexin-1
P56856,CLDN18,CLD18_HUMAN,Claudin-18
Q8N999,C12orf29,CL029_HUMAN,Uncharacterized protein C12orf29
P09496,CLTA,CLCA_HUMAN,Clathrin light chain A
Q9H112,CST11,CST11_HUMAN,Cystatin-11
Q92523,CPT1B,CPT1B_HUMAN,"Carnitine O-palmitoyltransferase 1, muscle isoform"
